SampleID,curated_file_Name,Row_File_Name,Row,Pear,Bowtie,MothurQC,F649_R889,F649_R889_bacteria,F649_R889_choa1,F649_R889_otu,F649_R889_PD,F649_R889_shannon,Project,Reserve,Species,Face,Tree,Day,Month,Year,season,Endo_exo,INC,legent1,lane,temp,rain,hum,VPD,GI,RI,Description
C01S20,Pear_bowtie_mothurQC_C01S20_F649_R889.fasta,Core-01-S20-Exo-T23C2_S20_L001_R1_001.fastq,19440,15392,15309,13109,9503,4874,598.4,265,17.30562,2.622552682,Acacia,Shizaf,tortilis,Center,23,24,1,2015,Winter,Exosphere,core_all,Exosphere_tortilis,C01,15.3,18.8,67,645,0.3512413697,0.3582997699,Exosphere_tortilis23_1_Center
C01S27,Pear_bowtie_mothurQC_C01S27_F649_R889.fasta,Core-01-S27-Exo-6R284C6_S27_L001_R1_001.fastq,93083,80959,80836,69772,60298,25976,640.4418605,352,17.99993,3.998383263,Acacia,Shizaf,raddiana,Center,284,22,1,2015,Winter,Exosphere,core_all,Exosphere_raddiana,C01,15.3,18.8,67,645,0.354788737,0.3588661554,Exosphere_raddiana284_1_Center
C01S24,Pear_bowtie_mothurQC_C01S24_F649_R889.fasta,Core-01-S24-Exo-R286C5_S24_L001_R1_001.fastq,2126,1235,1230,1022,853,788,171.4285714,60,6.29866,2.046504628,Acacia,Shizaf,raddiana,Center,286,22,1,2015,Winter,Exosphere,core_all,Exosphere_raddiana,C01,15.3,18.8,67,645,0.353,0.354,Exosphere_raddiana286_1_Center
C01S18,Pear_bowtie_mothurQC_C01S18_F649_R889.fasta,Core-01-S18-Exo-T300C2_S18_L001_R1_001.fastq,100242,86074,85942,73507,44164,42500,480.4,202,14.30065,2.2703111,Acacia,Shizaf,tortilis,Center,300,24,1,2015,Winter,Exosphere,core_all,Exosphere_tortilis,C01,15.3,18.8,67,645,0.35,0.362,Exosphere_tortilis300_1_Center
L6_S30,Pear_bowtie_mothurQC_L6_S30_F649_R889.fasta,03-15-T04C1_S30_L001_R1_001.fastq,44074,28674,28580,21224,15234,4495,208,69,5.40755,1.770950595,Acacia,Shizaf,tortilis,Center,23,24,3,2015,Winter,Exosphere,core_all,Exosphere_tortilis,6,21.4,21.6,30,1893,0.3483253117,0.3607321451,Exosphere_tortilis23_3_Center
L6_S21,Pear_bowtie_mothurQC_L6_S21_F649_R889.fasta,03-15-R01C1_S21_L001_R1_001.fastq,210176,162051,161746,123833,49739,3722,483.8717949,261,16.87861,3.225684212,Acacia,Shizaf,raddiana,Center,284,24,3,2015,Winter,Exosphere,core_all,Exosphere_raddiana,6,21.4,21.6,30,1893,0.3485536368,0.3712155444,Exosphere_raddiana284_3_Center
L6_S24,Pear_bowtie_mothurQC_L6_S24_F649_R889.fasta,03-15-R02C1_S24_L001_R1_001.fastq,227609,169455,169101,128240,49042,4318,408.125,275,16.50344,6.217120866,Acacia,Shizaf,raddiana,Center,286,24,3,2015,Winter,Exosphere,core_all,Exosphere_raddiana,6,21.4,21.6,30,1893,0.348,0.369,Exosphere_raddiana286_3_Center
L6_S27,Pear_bowtie_mothurQC_L6_S27_F649_R889.fasta,03-15-T03C1_S27_L001_R1_001.fastq,96922,77059,76927,58019,31098,5984,835.9491525,464,22.43423,5.85013811,Acacia,Shizaf,tortilis,Center,300,24,3,2015,Winter,Exosphere,core_all,Exosphere_tortilis,6,21.4,21.6,30,1893,0.3483253117,0.3607321451,Exosphere_tortilis300_3_Center
L6_S42,Pear_bowtie_mothurQC_L6_S42_F649_R889.fasta,04-15-T04C1_S42_L001_R1_001.fastq,126578,103022,102848,77771,45652,3875,339,179,11.58699,4.100617561,Acacia,Shizaf,tortilis,Center,23,20,4,2015,Spring,Exosphere,core_all,Exosphere_tortilis,6,26,0.9,34,2543,0.3463800564,0.3813599303,Exosphere_tortilis23_4_Center
L6_S33,Pear_bowtie_mothurQC_L6_S33_F649_R889.fasta,04-15-R01C1_S33_L001_R1_001.fastq,123685,95189,94900,71797,34670,3381,645.7,326,18.68631,6.00865301,Acacia,Shizaf,raddiana,Center,284,20,4,2015,Spring,Exosphere,core_all,Exosphere_raddiana,6,26,0.9,34,2543,0.3511113426,0.3922560124,Exosphere_raddiana284_4_Center
L6_S36,Pear_bowtie_mothurQC_L6_S36_F649_R889.fasta,04-15-R02C1_S36_L001_R1_001.fastq,180855,118687,118461,91480,33064,678,257.05,149,10.9447,5.751766618,Acacia,Shizaf,raddiana,Center,286,20,4,2015,Spring,Exosphere,core_all,Exosphere_raddiana,6,26,0.9,34,2543,0.3511113426,0.3922560124,Exosphere_raddiana286_4_Center
L6_S39,Pear_bowtie_mothurQC_L6_S39_F649_R889.fasta,04-15-T03C1_S39_L001_R1_001.fastq,133566,115769,115597,86621,46723,12358,920.8888889,579,25.39216,5.722499516,Acacia,Shizaf,tortilis,Center,300,20,4,2015,Spring,Exosphere,core_all,Exosphere_tortilis,6,26,0.9,34,2543,0.3463800564,0.3813599303,Exosphere_tortilis300_4_Center
L7_S12,Pear_bowtie_mothurQC_L7_S12_F649_R889.fasta,05-15-T04C1_S12_L001_R1_001.fastq,136545,83682,82911,68909,39644,23985,1199.37037,677,28.84784,5.993038918,Acacia,Shizaf,tortilis,Center,23,28,5,2015,Spring,Exosphere,core_all,Exosphere_tortilis,7,34.6,0,29,4189,0.3400736068,0.3780810896,Exosphere_tortilis23_5_Center
L7_S3,Pear_bowtie_mothurQC_L7_S3_F649_R889.fasta,05-15-R01C1_S3_L001_R1_001.fastq,199948,143089,141693,119245,67788,20334,1053.016129,564,26.37582,5.89324465,Acacia,Shizaf,raddiana,Center,284,28,5,2015,Spring,Exosphere,core_all,Exosphere_raddiana,7,34.6,0,29,4189,0.3448385126,0.3970721059,Exosphere_raddiana284_5_Center
L7_S6,Pear_bowtie_mothurQC_L7_S6_F649_R889.fasta,05-15-R02C1_S6_L001_R1_001.fastq,344758,254812,252820,215009,67684,21664,569.0294118,318,19.69371,3.718592418,Acacia,Shizaf,raddiana,Center,286,28,5,2015,Spring,Exosphere,core_all,Exosphere_raddiana,7,34.6,0,29,4189,0.343,0.388,Exosphere_raddiana286_5_Center
L7_S9,Pear_bowtie_mothurQC_L7_S9_F649_R889.fasta,05-15-T03C1_S9_L001_R1_001.fastq,76469,39019,38541,31975,19210,14175,888.9230769,547,25.30062,6.101600595,Acacia,Shizaf,tortilis,Center,300,28,5,2015,Spring,Exosphere,core_all,Exosphere_tortilis,7,34.6,0,29,4189,0.3400736068,0.3780810896,Exosphere_tortilis300_5_Center
