SampleID,curated_file_Name,Row_File_Name,Row,Pear,Bowtie,MothurQC,F649_R889,F649_R889_bacteria,F649_R889_choa1,F649_R889_otu,F649_R889_PD,F649_R889_shannon,Project,Reserve,tree_species,Canopy,Tree,Day,Month,shedding,month,Year,season,sample_type,INC,legent1,lane,Temperature,Precipitation,Humidity,VPD,GI,RI,Description
C01S96,Pear_bowtie_mothurQC_C01S96_F649_R889.fasta,Core-01-S96-Endo-R284S4_S96_L001_R1_001.fastq,135375,123194,123036,106631,55388,35242,270.6,125,7.75737,1.862037266,Acacia,Shizaf,A. raddiana,South,284,22,1,new,Jan,2015,Winter,Endophytes,core_all,Endo_R,C01,15.3,18.8,67,645,0.354788737,0.359,Endo_R284_1_S
C01S95,Pear_bowtie_mothurQC_C01S95_F649_R889.fasta,Core-01-S95-Endo-R286S3_S95_L001_R1_001.fastq,161301,145120,144861,128130,47861,1491,255.0666667,152,11.08431,4.729543375,Acacia,Shizaf,A. raddiana,South,286,22,1,new,Jan,2015,Winter,Endophytes,core_all,Endo_R,C01,15.3,18.8,67,645,0.353,0.354,Endo_R286_1_S
C01S71,Pear_bowtie_mothurQC_C01S71_F649_R889.fasta,Core-01-S71-Endo-T23S4_S71_L001_R1_001.fastq,74259,61095,60982,52297,48082,18648,337,143,9.91835,2.831176159,Acacia,Shizaf,A. tortilis,South,23,22,1,new,Jan,2015,Winter,Endophytes,core_all,Endo_T,C01,15.3,18.8,67,645,0.3512413697,0.358,Endo_T23_1_S
C01S69,Pear_bowtie_mothurQC_C01S69_F649_R889.fasta,Core-01-S69-Endo-T300S3_S69_L001_R1_001.fastq,91171,73814,73697,63644,55876,13087,399.2142857,165,10.31523,2.506291501,Acacia,Shizaf,A. tortilis,South,300,22,1,new,Jan,2015,Winter,Endophytes,core_all,Endo_T,C01,15.3,18.8,67,645,0.35,0.362,Endo_T300_1_S
C01S27,Pear_bowtie_mothurQC_C01S27_F649_R889.fasta,Core-01-S27-Exo-6R284C6_S27_L001_R1_001.fastq,93083,80959,80836,69772,60298,25976,640.4418605,352,17.99993,3.998383263,Acacia,Shizaf,A. raddiana,Center,284,22,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_R,C01,15.3,18.8,67,645,0.354788737,0.359,Epi_R284_1_C
C01S24,Pear_bowtie_mothurQC_C01S24_F649_R889.fasta,Core-01-S24-Exo-R286C5_S24_L001_R1_001.fastq,2126,1235,1230,1022,853,788,171.4285714,60,6.29866,2.046504628,Acacia,Shizaf,A. raddiana,Center,286,22,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_R,C01,15.3,18.8,67,645,0.353,0.354,Epi_R286_1_C
C01S28,Pear_bowtie_mothurQC_C01S28_F649_R889.fasta,Core-01-S28-Exo-5R284N2_S28_L001_R1_001.fastq,155223,127713,127494,110873,64828,13496,322.4615385,167,10.83933,2.458388474,Acacia,Shizaf,A. raddiana,North,284,22,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_R,C01,15.3,18.8,67,645,0.354788737,0.359,Epi_R284_1_N
C01S25,Pear_bowtie_mothurQC_C01S25_F649_R889.fasta,Core-01-S25-Exo-8R286N2_S25_L001_R1_001.fastq,101330,88796,88699,76473,57982,30865,425.6,159,11.08516,2.16199907,Acacia,Shizaf,A. raddiana,North,286,22,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_R,C01,15.3,18.8,67,645,0.353,0.354,Epi_R286_1_N
C01S26,Pear_bowtie_mothurQC_C01S26_F649_R889.fasta,Core-01-S26-Exo-7R284S3_S26_L001_R1_001.fastq,127363,107596,107421,92856,57767,23376,373.8666667,157,10.72619,1.991344424,Acacia,Shizaf,A. raddiana,South,284,22,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_R,C01,15.3,18.8,67,645,0.354788737,0.359,Epi_R284_1_S
C01S23,Pear_bowtie_mothurQC_C01S23_F649_R889.fasta,Core-01-S23-Exo-R286S4_S23_L001_R1_001.fastq,35268,27956,27893,24049,21338,6597,314.1666667,206,13.09026,3.990496301,Acacia,Shizaf,A. raddiana,South,286,22,1,new,Jan,2015,Winter,Epiphytes,core_all,Epi_R,C01,15.3,18.8,67,645,0.353,0.354,Epi_R286_1_S
